	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	61.0%	60%	GIA	6272345472	$9076	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2047938	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6272345472.pdf		03/22/18 16:55:30
1	round	1.50	H	SI1	Signature Ideal	62.7%	58%	GIA	2277554203	$9076	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2172443	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2277554203.pdf		03/22/18 16:55:31
2	round	1.50	H	SI1	Signature Ideal	62.4%	57%	GIA	7286210170	$9101	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2183637	https://yadav-gemstone-graphics.s3.amazonaws.com/2183637_1.jpg	https://yadav-certs.s3.amazonaws.com/7286210170.jpg	http://www.yadavjewelry.com/diamonds/videos/2183637	03/22/18 16:55:31
3	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	1192135659	$9103	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	03/22/18 16:55:32
4	round	1.50	H	SI1	Signature Ideal	62.7%	59%	GIA	2277552389	$9106	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2181677	https://yadav-gemstone-graphics.s3.amazonaws.com/2181677_1.jpg	https://yadav-certs.s3.amazonaws.com/2277552389.pdf		03/22/18 16:55:33
5	round	1.51	H	SI1	Signature Ideal	61.4%	60%	GIA	2185882162	$9137	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2047939	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2185882162.pdf		03/22/18 16:55:34
6	round	1.53	H	SI1	Signature Ideal	62.7%	58%	GIA	2274556315	$9142	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2185718	https://yadav-gemstone-graphics.s3.amazonaws.com/2185718_1.jpg	https://yadav-certs.s3.amazonaws.com/2274556315.pdf		03/22/18 16:55:35
7	round	1.51	H	SI1	Signature Ideal	61.1%	59%	GIA	1288226154	$9167	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2185202	https://yadav-gemstone-graphics.s3.amazonaws.com/2185202_1.jpg	https://yadav-certs.s3.amazonaws.com/1288226154.pdf		03/22/18 16:55:36
8	round	1.51	H	SI1	Signature Ideal	62.7%	59%	GIA	6275748555	$9167	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2181678	https://yadav-gemstone-graphics.s3.amazonaws.com/2181678_1.jpg	https://yadav-certs.s3.amazonaws.com/6275748555.pdf		03/22/18 16:55:36
9	round	1.56	H	SI1	Signature Ideal	62.6%	57%	GIA	6285095784	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.56-carat-H-SI1-yd2184453	https://yadav-gemstone-graphics.s3.amazonaws.com/2184453_1.jpg	https://yadav-certs.s3.amazonaws.com/6285095784.pdf		03/22/18 16:55:37
10	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	7273838408	$9221	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd1974755	https://yadav-gemstone-graphics.s3.amazonaws.com/1974755_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/1974755	03/22/18 16:55:38
11	round	1.52	H	SI1	Signature Ideal	62.6%	58%	GIA	1278711035	$9228	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2183720	https://yadav-gemstone-graphics.s3.amazonaws.com/2183720_1.jpg	https://yadav-certs.s3.amazonaws.com/1278711035.pdf		03/22/18 16:55:39
12	round	1.51	H	SI1	Signature Ideal	62.7%	56%	GIA	5182918205	$9234	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2117294	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5182918205.pdf		03/22/18 16:55:40
13	round	1.51	H	SI1	Signature Ideal	62.5%	57%	GIA	1186746283	$9234	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2123000	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1186746283.pdf		03/22/18 16:55:40
14	round	1.51	H	SI1	Signature Ideal	61.3%	59%	GIA	6272533828	$9234	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2159217	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6272533828.pdf		03/22/18 16:55:41
15	round	1.50	H	SI1	Signature Ideal	60.8%	59%	GIA	2274923787	$9251	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2183934	https://yadav-gemstone-graphics.s3.amazonaws.com/2183934_1.jpg	https://yadav-certs.s3.amazonaws.com/2274923787.pdf		03/22/18 16:55:42
16	round	1.53	H	SI1	Signature Ideal	62.7%	57%	GIA	6282234574	$9288	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2185203	https://yadav-gemstone-graphics.s3.amazonaws.com/2185203_1.jpg	https://yadav-certs.s3.amazonaws.com/6282234574.pdf		03/22/18 16:55:43
17	round	1.51	H	SI1	Signature Ideal	62.7%	57%	GIA	7272441579	$9312	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2183718	https://yadav-gemstone-graphics.s3.amazonaws.com/2183718_1.jpg	https://yadav-certs.s3.amazonaws.com/7272441579.pdf		03/22/18 16:55:43
